municipio,poblacion,planta_id,distancia_km,produccion_t,tkm,C_trans,C_trat,C_tot
Esparragosa de la Serena,1088,6,12.64,544.00,6876.24,4.42,8.55,12.97
Puebla de Sancho P‚rez,2899,5,16.65,1449.50,24135.40,5.83,7.09,12.92
Santibáñez el Alto,436,31,11.65,218.00,2539.67,4.08,8.81,12.89
Cañamero,1787,45,11.88,893.50,10610.72,4.16,8.69,12.85
Segura de León,2140,8,11.36,1070.00,12156.33,3.98,8.84,12.82
Riolobos,1257,29,21.35,628.50,13417.54,7.47,5.31,12.78
Cuacos de Yuste,915,22,11.32,457.50,5179.89,3.96,8.81,12.78
Alange,2005,14,24.97,1002.50,25029.25,8.74,4.03,12.77
Pozuelo de Zarzón,564,25,11.77,282.00,3319.89,4.12,8.64,12.76
Villar de Rena,1457,3,19.68,728.50,14333.76,6.89,5.83,12.72
Malpartida de la Serena,662,6,11.89,331.00,3934.07,4.16,8.55,12.71
Valdefuentes,1415,41,11.13,707.50,7873.70,3.90,8.80,12.69
Trujillo,9822,19,10.96,4911.00,53819.10,3.84,8.81,12.65
Casas de Don Gómez,347,20,11.16,173.50,1935.74,3.90,8.73,12.64
Aceituna,617,25,11.26,308.50,3474.74,3.94,8.64,12.58
Fuente del Arco,750,10,16.86,375.00,6323.55,5.90,6.66,12.56
Villar del Rey,2386,18,27.72,1193.00,33068.09,9.70,2.80,12.50
Belvís de Monroy,670,27,11.49,335.00,3850.41,4.02,8.41,12.43
Aljucén,252,14,23.94,126.00,3016.51,8.38,4.03,12.41
Morera. La,752,9,23.30,376.00,8759.34,8.15,4.22,12.37
Romangordo,224,27,11.16,112.00,1250.42,3.91,8.41,12.32
Risco,166,11,11.73,83.00,973.71,4.11,8.20,12.31
San Pedro de Mérida,880,14,23.26,440.00,10235.62,8.14,4.03,12.17
Casas del Monte,766,22,9.58,383.00,3670.18,3.35,8.81,12.17
Hinojosa del Valle,558,1,10.36,279.00,2891.07,3.63,8.50,12.13
Torremayor,1004,14,23.12,502.00,11606.40,8.09,4.03,12.12
Huélaga,196,20,9.55,98.00,935.82,3.34,8.73,12.07
Alcuéscar,3010,41,9.23,1505.00,13887.18,3.23,8.80,12.03
Toril,179,27,10.27,89.50,919.09,3.59,8.41,12.00
Torreorgaz,1764,46,24.30,882.00,21434.14,8.51,3.49,11.99
Cabeza del Buey,5411,7,1.54,2705.50,4165.59,0.54,11.44,11.98
Valdeobispo,761,29,19.06,380.50,7250.84,6.67,5.31,11.98
Robledillo de Gata,124,31,9.03,62.00,560.16,3.16,8.81,11.98
Benquerencia de la Serena,948,6,9.68,474.00,4587.52,3.39,8.55,11.93
Villafranca de los Barros,13356,1,9.80,6678.00,65455.94,3.43,8.50,11.93
Valdehúncar,212,27,9.92,106.00,1051.01,3.47,8.41,11.88
Villanueva de la Serena,25838,3,17.14,12919.00,221402.90,6.00,5.83,11.83
Navaconcejo,2074,22,8.54,1037.00,8860.41,2.99,8.81,11.80
Medell¡n,2337,3,17.05,1168.50,19924.18,5.97,5.83,11.80
Arroyomolinos,999,41,8.47,499.50,4229.80,2.96,8.80,11.76
Aldehuela de Jerte,338,29,18.43,169.00,3114.68,6.45,5.31,11.76
Almendralejo,33588,9,21.51,16794.00,361304.22,7.53,4.22,11.75
Rena,669,3,16.86,334.50,5639.29,5.90,5.83,11.73
Aldeanueva de la Vera,2275,22,8.31,1137.50,9450.74,2.91,8.81,11.72
Valdelacalzada,2804,18,25.48,1402.00,35726.60,8.92,2.80,11.72
Guijo de Santa Bárbara,410,22,8.14,205.00,1667.68,2.85,8.81,11.66
Guijo de Galisteo,1611,25,8.51,805.50,6851.92,2.98,8.64,11.61
Collado,201,22,7.98,100.50,802.13,2.79,8.81,11.61
Torre de Santa María,632,41,7.86,316.00,2485.11,2.75,8.80,11.55
Granja. La,361,22,7.78,180.50,1403.57,2.72,8.81,11.54
Lapa. La,296,9,20.77,148.00,3073.24,7.27,4.22,11.49
Burguillos del Cerro,3286,5,12.56,1643.00,20631.87,4.40,7.09,11.48
Majadas,1297,27,8.77,648.50,5688.52,3.07,8.41,11.48
Arroyo de la Luz,6517,46,22.81,3258.50,74321.37,7.98,3.49,11.47
Nuñomoral,1435,21,5.95,717.50,4270.21,2.08,9.38,11.46
Medina de las Torres,1338,5,12.47,669.00,8340.66,4.36,7.09,11.45
Coria,12896,20,7.63,6448.00,49176.69,2.67,8.73,11.40
Robledillo de la Vera,305,22,7.37,152.50,1124.48,2.58,8.81,11.39
Bodonal de la Sierra,1139,8,7.26,569.50,4134.46,2.54,8.84,11.38
Torremenga,621,22,7.07,310.50,2195.61,2.47,8.81,11.29
Aceuchal,5679,9,20.00,2839.50,56782.18,7.00,4.22,11.22
Losar de la Vera,2966,22,6.82,1483.00,10110.45,2.39,8.81,11.20
Sierra de Fuentes,2085,46,21.86,1042.50,22788.09,7.65,3.49,11.14
Morcillo,418,25,7.00,209.00,1463.07,2.45,8.64,11.09
Segura de Toro,186,22,6.42,93.00,597.32,2.25,8.81,11.06
Sancti-Spíritus,237,11,8.12,118.50,962.54,2.84,8.20,11.05
Carrascalejo. El,85,14,19.98,42.50,849.33,6.99,4.03,11.03
Parra. La,1390,9,19.45,695.00,13518.53,6.81,4.22,11.03
Navalmoral de la Mata,17228,27,7.24,8614.00,62406.91,2.54,8.41,10.95
Descargamaría,190,31,6.08,95.00,577.18,2.13,8.81,10.94
Brozas,2123,44,2.95,1061.50,3128.28,1.03,9.90,10.94
Galisteo,1968,29,16.07,984.00,15809.89,5.62,5.31,10.93
Jerte,1332,22,5.61,666.00,3738.05,1.96,8.81,10.78
Oliva de Plasencia,286,29,15.53,143.00,2221.14,5.44,5.31,10.75
Cabezuela del Valle,2129,22,5.51,1064.50,5861.24,1.93,8.81,10.74
Abadía,325,22,5.14,162.50,835.21,1.80,8.81,10.61
Reina,201,10,11.18,100.50,1123.14,3.91,6.66,10.57
Millanes,257,27,6.17,128.50,793.28,2.16,8.41,10.57
Mirandilla,1377,14,18.47,688.50,12716.66,6.46,4.03,10.50
Jara¡z de la Vera,6467,22,4.75,3233.50,15373.67,1.66,8.81,10.48
Gargantilla,440,22,4.72,220.00,1038.51,1.65,8.81,10.47
Campanario,5367,3,13.19,2683.50,35398.47,4.62,5.83,10.45
Saucedilla,804,27,5.79,402.00,2329.05,2.03,8.41,10.44
Valverde de Burguillos,322,5,9.34,161.00,1503.43,3.27,7.09,10.36
Portaje,415,20,4.62,207.50,957.91,1.62,8.73,10.35
Valverde de Leganés,4155,13,10.71,2077.50,22260.08,3.75,6.59,10.34
Garrovilla. La,2506,14,17.95,1253.00,22497.58,6.28,4.03,10.32
Carcaboso,1108,29,14.24,554.00,7889.95,4.98,5.31,10.30
Magacela,607,3,12.50,303.50,3794.71,4.38,5.83,10.21
Cadalso,506,31,3.91,253.00,989.06,1.37,8.81,10.18
Fregenal de la Sierra,5237,8,3.43,2618.50,8972.24,1.20,8.84,10.04
Montehermoso,5799,25,3.91,2899.50,11342.65,1.37,8.64,10.01
Jarandilla de la Vera,3129,22,3.34,1564.50,5230.90,1.17,8.81,9.98
Albalá,798,41,3.35,399.00,1337.59,1.17,8.80,9.97
Haba. La,1367,3,11.65,683.50,7964.85,4.08,5.83,9.91
Mengabril,487,3,11.64,243.50,2833.48,4.07,5.83,9.91
Puebla del Prior,545,1,4.00,272.50,1088.79,1.40,8.50,9.90
Trujillanos,1439,14,16.62,719.50,11959.73,5.82,4.03,9.85
Talayuela,9222,27,4.02,4611.00,18546.46,1.41,8.41,9.82
Moraleja,7998,20,3.09,3999.00,12343.27,1.08,8.73,9.81
Montánchez,2040,41,2.71,1020.00,2759.22,0.95,8.80,9.75
Alconera,737,5,7.44,368.50,2742.41,2.60,7.09,9.69
Torremej¡a,2228,14,16.07,1114.00,17900.03,5.62,4.03,9.66
Casas de Reina,196,10,8.34,98.00,817.62,2.92,6.66,9.58
Castuera,6594,6,2.88,3297.00,9496.95,1.01,8.55,9.55
Casatejada,1399,27,3.23,699.50,2261.19,1.13,8.41,9.54
Valencia de Alcántara,6178,39,2.59,3089.00,8014.38,0.91,8.61,9.52
Siruela,2192,11,3.69,1096.00,4041.44,1.29,8.20,9.49
Quintana de la Serena,5069,6,2.57,2534.50,6508.67,0.90,8.55,9.44
Villalba de los Barros,1654,9,14.89,827.00,12313.70,5.21,4.22,9.43
Feria,1341,9,14.72,670.50,9866.73,5.15,4.22,9.37
Malpartida de Plasencia,4627,29,11.51,2313.50,26617.71,4.03,5.31,9.34
Logrosán,2090,45,1.63,1045.00,1707.72,0.57,8.69,9.26
